FunctionName\\MatrixSize,3,6,10,22,40,77,150,280,530,1000
Matrix Generation,20.4350757575758,44.2077766798419,44.3212229437229,33.8838998357964,120.216666666667,195.6325,678.1575,2362.4425,8068.4425,28452.4425
Matrix Addition,41.3296693017128,41.4715497364954,19.4002083333333,19.659008629499,40.4559333333333,26.6457946428571,61.4909102564103,78.2645769230769,648.4375,2015.9425
Matrix Multiplication,27.3750476190476,39.3642418546366,22.3968959899749,27.9501039577121,65.8197857142857,90.3579166666667,337.1025,1679.4425,11329.4425,55333.4425
Matrix Quadratic Form,47.7421378446115,42.2237619047619,22.6435491452991,23.7983315018315,46.4969436090226,40.22625,76.6139705882353,82.6781666666667,202.3315,1174.4425
Matrix Reductions,39.8180797101449,45.1571731601732,21.5611505161505,23.3263333333333,36.4778125,44.2838181818182,128.158055555556,190.919166666667,743.2825,2310.1925
Element Wise Operations,25.338492481203,40.2414791144528,33.7477055702918,72.0867307692308,246.893166666667,592.4075,1905.4425,6312.4425,22602.1925,85213.6925
Matrix Exponential,228.951,249.303,269.5405,527.3125,632.5625,2186.1925,8935.4425,28289.4425,144455.4425,961869.1925
Matrix Square Root,108.872722222222,96.2185,104.989574175824,249.8725,387.634166666667,1796.9425,4975.4425,16117.4425,72234.1925,411264.4425
SVD,68.1601666666667,89.8055909090909,64.7435952380953,289.1225,502.0625,3124.6925,7403.4425,28615.1925,127129.9425,760629.1925
Eigen Decomposition,69.4030555555556,75.7748838383838,75.6219871794872,321.6025,771.3125,6941.9425,24295.4425,80916.1925,372637.6925,1559935.8175
Cholesky Decomposition,43.0723095238095,42.298849378882,21.4742948717949,61.4464166666667,46.9933333333333,218.8345,360.9675,1378.6925,7650.9425,43152.1925
Matrix Inversion,126.28625,111.538712121212,210.859357142857,358.9505,694.9375,2324.1925,8953.4425,34458.6925,155647.4425,927515.9425
Linear System Solution,45.0653,83.2411013986014,67.0066307189543,103.612166666667,177.848833333333,543.6575,6458.9425,7719.6925,29639.4425,148269.1925
Linear Least Squares,50.1568779904306,92.7182361111111,63.4981130952381,113.100277777778,198.443166666667,557.1575,2037.6925,8410.9425,44220.9425,234959.6925
Squared Distance Matrix,34.8984595959596,56.1291264619883,31.4943542413381,45.9796679197995,90.459512987013,231.043166666667,932.7825,3706.4425,16112.9425,78342.4425
K-Means Run Time,463.229166666667,481.9475,272.045,541.9475,322.9775,573.7825,1507.1925,4310.1925,15738.9425,56190.6925
